run,house,traj,T,success,has_bar,behavior_class,protr_name,protr_wall,residual_margin,bar_face_y,obj_gap,min_near_overall,min_near_approach,min_near_pregrasp,max_nclose_approach,frac_approach_active,bow_approach_m,approach_contacts,held_contacts,object_name,target_uid
20260612_183855,house_121,traj_19,55,True,False,free,,,nan,,,0.028015870600938797,0.028015870600938797,0.03337185084819794,2,0.5555555555555556,0.006132682119102572,0.0,161.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_2,86,True,True,free,protr_s,right,-0.027238233882666676,0.22257067029012623,0.15532489171173908,0.02092304453253746,0.02092304453253746,0.030834291130304337,2,0.4117647058823529,0.0033097873908188653,0.0,148.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_20,60,True,True,free,protr_s,right,-0.0563767383578177,0.22470763647418873,0.17766792389510672,0.061571814119815826,0.10994576662778854,0.11057805269956589,0,0.0,0.0036643886059845496,0.0,170.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_21,58,True,True,free,protr_m,left,-0.11303329744821212,0.15802836788801916,0.15859040631371318,0.061571814119815826,0.061571814119815826,0.061571814119815826,1,0.03333333333333333,0.005426959991250057,0.0,175.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_22,102,True,True,deflect,protr_l,right,-0.12012355722082481,0.19578267289018747,0.1980340893917139,0.044018059968948364,0.07055357098579407,0.07055357098579407,1,0.40540540540540543,0.03815505825682601,0.0,260.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_23,139,True,True,deflect,protr_m,right,-0.1336228151124076,0.17844574309033642,0.12812905945912226,0.044018059968948364,0.044018059968948364,0.044018059968948364,1,0.011494252873563218,0.0922791282379326,12.0,161.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_24,59,True,False,free,,,nan,,,0.04510742425918579,0.140569269657135,0.140569269657135,0,0.0,0.009992506219677207,0.0,163.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_3,59,True,True,free,protr_m,left,-0.0003868320495488964,0.19738832551846064,0.15829453859991313,0.036172762513160706,0.13178232312202454,0.13955779373645782,0,0.0,0.005288993833854746,0.0,191.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_4,88,False,False,free,,,nan,,,0.056162748485803604,0.07506590336561203,0.08212106674909592,1,0.2857142857142857,0.009825776664163845,0.0,156.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_5,57,True,True,free,protr_l,left,-0.0981134925162823,0.16771736567695342,0.17519493977388095,0.08253312110900879,0.08253312110900879,0.08253312110900879,2,0.034482758620689655,0.005018722030545178,0.0,218.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_6,87,True,True,free,protr_m,right,-0.05607265131038727,0.21809617467251458,0.12532368870580046,0.08759242296218872,0.08759242296218872,0.08759242296218872,1,0.030303030303030304,0.012495869481998977,8.0,189.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_7,62,True,True,free,protr_l,left,-0.17333640764127217,0.14109943917223816,0.14599888052407467,0.020337803289294243,0.04620971903204918,0.10071450471878052,2,0.2647058823529412,0.008123362063895282,0.0,244.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_183855,house_121,traj_8,59,True,True,free,protr_l,left,-0.13079372210125778,0.19506501835472714,0.12319205421397533,0.05830950289964676,0.08424645662307739,0.08424645662307739,1,0.03225806451612903,0.004872518128165403,0.0,252.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
