sensor,pixel_u,pixel_v,axial_depth_m,world_x_m,world_y_m,world_z_m
robot_0/link6_sensor_1,2,7,1.8630822,-0.13241066866473344,-1.9500002840240223,1.8196986668359703
robot_0/link6_sensor_1,3,7,1.9650975,-0.3383348260117504,-1.9500004435796714,1.887379222478943
robot_0/link6_sensor_1,4,7,2.0789318,-0.568116488564478,-1.950000413565202,1.962900898101351
robot_0/link6_sensor_1,5,7,2.2067652,-0.8261565843520213,-1.9500001830905647,2.047710130838219
robot_0/link6_sensor_1,6,7,2.35135,-1.1180099453008248,-1.9500003663748684,2.143632800496429
robot_0/link6_sensor_1,7,7,2.5162084,-1.4507877771183018,-1.949999859387396,2.253005787070598
robot_0/link6_sensor_2,0,0,0.27089843,0.5944858514219646,-0.4300000049239784,1.164035451315442
robot_0/link6_sensor_2,1,0,0.26672763,0.5651869923171697,-0.4299999985387849,1.167188680950213
robot_0/link6_sensor_2,2,0,1.9384922,1.146256648863088,-1.9499999304598519,1.9206674450669325
robot_0/link6_sensor_2,3,0,1.9095383,0.9428631330935189,-1.9499998277104136,1.9425572237850262
robot_0/link6_sensor_2,4,0,1.8814368,0.7454561394353536,-1.9499999761115299,1.9638028494663633
robot_0/link6_sensor_2,5,0,1.8541503,0.5537750919596981,-1.9499999385203104,1.9844321314103668
robot_0/link6_sensor_2,6,0,1.827644,0.36757446997926746,-1.9499999644565125,2.004471627261521
robot_0/link6_sensor_2,7,0,1.8018848,0.18662254852868,-1.9499999072854024,2.0239461972500177
robot_0/link6_sensor_2,0,1,0.26633495,0.5875818100910113,-0.43000001775310315,1.1352168147110149
robot_0/link6_sensor_2,1,1,0.26481417,0.5599999905413563,-0.43228152177588286,1.1395788834022187
robot_0/link6_sensor_2,2,1,1.9068109,1.1037875795576824,-1.9499999353997328,1.7135928447545519
robot_0/link6_sensor_2,3,1,1.8787888,0.9042934519295458,-1.9499998623211003,1.7381732649105897
robot_0/link6_sensor_2,4,1,1.8515786,0.710577862735608,-1.9499999171166746,1.7620417427738877
robot_0/link6_sensor_2,5,1,1.8251451,0.5223932738438156,-1.9499998312151723,1.785228665052533
robot_0/link6_sensor_2,6,1,1.799456,0.3395061580390662,-1.9499999705797362,1.8077629601136551
robot_0/link6_sensor_2,7,1,1.7744799,0.16169591874622669,-1.9499999804952965,1.829671658707564
robot_0/link6_sensor_2,0,2,0.2564261,0.5779755625173961,-0.4250000200523576,1.1062043853659937
robot_0/link6_sensor_2,1,2,0.26668516,0.5565108640986823,-0.4379999769344428,1.1132161410326726
robot_0/link6_sensor_2,2,2,1.8761485,1.0626843487635456,-1.949999923273372,1.5131779503831493
robot_0/link6_sensor_2,3,2,1.8490139,0.8669462449729858,-1.9499998095621982,1.5402673856289923
robot_0/link6_sensor_2,4,2,1.8226532,0.676789312202777,-1.9499997854189641,1.5665844341222281
robot_0/link6_sensor_2,5,2,1.7970338,0.4919781775768472,-1.9500000511394573,1.5921617329108142
robot_0/link6_sensor_2,6,2,1.7721244,0.31229048980775004,-1.9500000877543293,1.617029893312299
robot_0/link6_sensor_2,7,2,1.747896,0.13751617024609608,-1.9499999299671829,1.6412180002665784
robot_0/link6_sensor_2,0,3,0.2522472,0.5716533678336582,-0.42500004020209603,1.079814456481322
robot_0/link6_sensor_2,1,3,0.26240274,0.5504011651922996,-0.4379999655126793,1.0856991025451352
robot_0/link6_sensor_2,2,3,0.40240568,0.5680000258590795,-0.5749244440052941,1.1106946535044218
robot_0/link6_sensor_2,3,3,1.8201683,0.830764368908121,-1.9499999695420662,1.348536476988638
robot_0/link6_sensor_2,4,3,1.7946179,0.644040247591692,-1.9499999412825733,1.3771401237788816
robot_0/link6_sensor_2,5,3,1.769775,0.46248578841241594,-1.9500000304713412,1.4049518708235897
robot_0/link6_sensor_2,6,3,1.7456105,0.285889216138867,-1.95000001014147,1.432004113370684
robot_0/link6_sensor_2,7,3,1.7220968,0.11405021512569036,-1.9499998723243879,1.4583275355018697
robot_0/link6_sensor_2,0,4,0.2531269,0.5680000121029378,-0.42962813455129234,1.054303670127062
robot_0/link6_sensor_2,1,4,0.27205202,0.5500000050341098,-0.45115547209389134,1.0593955529876689
robot_0/link6_sensor_2,2,4,0.42426458,0.568000021638541,-0.6021329352440927,1.0709319715861823
robot_0/link6_sensor_2,3,4,1.7922084,0.7956939984197572,-1.9499997829246256,1.1626958766996511
robot_0/link6_sensor_2,4,4,1.7674319,0.612283372223818,-1.9499999512593038,1.1934354228082438
robot_0/link6_sensor_2,5,4,1.7433307,0.4338747561618741,-1.9499998410321049,1.2233366076505157
