training_seed,scene_id,ACT_task_success,ACT_collision_free_task_success,ACT_pickup_failure,ACT_failure_stage,ACT_union_frames,PACT-Finetune_task_success,PACT-Finetune_collision_free_task_success,PACT-Finetune_pickup_failure,PACT-Finetune_failure_stage,PACT-Finetune_union_frames,PACT-Frozen_task_success,PACT-Frozen_collision_free_task_success,PACT-Frozen_pickup_failure,PACT-Frozen_failure_stage,PACT-Frozen_union_frames
3105,69dad3f0e9f84424e5eee2e34be3037d1604e38f5361f10519b7eabad5317641,False,False,False,no_target_interaction,6172,True,True,False,success,0,True,True,False,success,0
3105,6ba0bd3faa08a76cb747045f8cf7d3f9451b36ee61ddf18b1d4f5976cbbacf31,False,False,False,no_target_interaction,3468,True,True,False,success,0,True,True,False,success,0
3105,7b93238aaf6b32a8d94299267eed17cb63c1ba49814a771c3d1ae00199572068,False,False,True,touched_without_hold,0,True,True,False,success,0,True,True,False,success,0
3105,8505f1b962de0972f9b6276d546299b7f6f682353da3a4f952d5bf3303f29255,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,88b1363b23e900b04f1dab9a5dc549bb0c5606cd6e76f23ec1792d63353d5dc9,True,False,False,success,246,True,False,False,success,38,True,False,False,success,1186
3105,8a926733efd9c8d5af8d79328e6b6aa7a7f897027750eaa61208e68890adcf63,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,8da1b0054f38df7d23afe11524bb7d3fae210bb705c4698a196818b227d64ba2,True,False,False,success,535,False,False,True,touched_without_hold,0,True,False,False,success,116
3105,91fecdd209570c0f564acaaf75bbeeae4df85b8e9b87d5fa62bb4fe4268c7a4c,False,False,False,lifted_without_placement,0,False,False,True,touched_without_hold,0,False,False,False,no_target_interaction,4303
3105,943cbe73a35a1a42047ab3fb9e13b00f0ebc01da13b06b0eb66a78ded51641f5,False,False,False,no_target_interaction,5308,True,True,False,success,0,True,True,False,success,0
3105,95a631ebeb304836581c371880bb0012a71adf37eb31a2a6820e37ed33461f15,False,False,True,touched_without_hold,18,True,True,False,success,0,True,True,False,success,0
3105,95c606075eecdf63ea8e7e395d02bfb587e545600bce7079406892535bb6e27d,False,False,True,touched_without_hold,0,True,True,False,success,0,True,True,False,success,0
3105,98ae17782f54d3102660ba455baed5ba5abeeb2fc44dd1e18d07ba27480f3671,False,False,False,no_target_interaction,2924,False,False,False,no_target_interaction,3209,False,False,True,touched_without_hold,2392
3105,a05dc0de4ac2bc8144b012f2547e3bba70066cff1ea7ed16c213865de30ea5d8,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,a5b67ccfd9e4083c9d9bd1c39ad084d98e032b1819d1725860e6767fe53011d3,False,False,True,touched_without_hold,0,True,True,False,success,0,False,False,True,touched_without_hold,0
3105,b594027c428d0b55dce981799d3b243bf9bd555ed04e715188de8b5196a164b3,False,False,False,supported_without_final_success,0,False,False,True,touched_without_hold,41,True,True,False,success,0
3105,b6a0de81d329e677b868605d1bce5787124f529ce1bd4dfa07026a11e43ac08a,True,True,False,success,0,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0
3105,bc5fe15405e9c7396dd1bb3e56a6b4f9e8ff8f050885d2a0838aeb9cc2dbc3a5,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,c0ff4fd9273e6de8a16efdb2c68d4827f22a2bf32772633c610c90a732ec735b,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3105,c325e4d3cf0df53cc973b4622ce67d25a773bd9588b662d334fb46595fc11922,False,False,False,no_target_interaction,3078,True,True,False,success,0,False,False,False,lifted_without_placement,165
3105,c40d26d7d39ec46de3f5eb6b654bf7009d00c55b9a637a77b75e6c417d9cbe83,False,False,True,touched_without_hold,0,False,False,False,no_target_interaction,4991,True,False,False,success,17
3105,ca2617c80a0ee2a5f1c7edbf819bfc51fa875f60c006135bfb1ddf233fd5f892,False,False,True,touched_without_hold,0,True,False,False,success,205,True,True,False,success,0
3105,cd1fe7234437c3b4899188e972b51f32dd1d75047088974d0e923431e43de0d7,False,False,False,no_target_interaction,2040,False,False,False,no_target_interaction,2911,False,False,False,no_target_interaction,4561
3105,d1274fee073486a2e4370231ad97fb2a67fd7a519c86058cd0bc89cdef796032,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0
3105,d2d565026a55e427eebfe5774e51a4b34d55e9d3814b9245963848ca8d4ffc13,False,False,True,touched_without_hold,4,False,False,True,touched_without_hold,5,False,False,True,touched_without_hold,5
3105,d6cd3d70f1ba3fb6f816deb953f380ce5f990b9ec705ed775b0a0bcbe2d881e7,False,False,False,no_target_interaction,6296,False,False,False,held_without_lift,0,False,False,True,touched_without_hold,0
3105,e208ca8dbbea2c3026541085eb086e5f9523e5a8cf9d8a444772faa5689fe645,False,False,False,lifted_without_placement,3090,True,True,False,success,0,True,True,False,success,0
3105,e4796f9bfe5ebdee66c9edbcdb98e7e667405456d4f1d73026d9d5ef2a25a6d8,False,False,True,touched_without_hold,170,True,False,False,success,22,True,False,False,success,21
3105,ecdd0c8d5399f2d8244071fb8b151c8a864c34b3d10a7dc0ef0638b26323d3a1,True,False,False,success,1053,False,False,True,touched_without_hold,0,True,False,False,success,431
3105,f2a175781663b554d8f8e6e8f85b7fe72210303a25613b2bd60b9f98d57de858,False,False,False,no_target_interaction,6084,False,False,False,no_target_interaction,4002,False,False,False,no_target_interaction,4107
