sensor,pixel_u,pixel_v,axial_depth_m,world_x_m,world_y_m,world_z_m
robot_0/link6_sensor_1,4,4,2.6455147,-0.7752986411075484,-1.949999976451624,2.7406037348699233
robot_0/link6_sensor_1,5,4,2.6938179,-1.0410373146214749,-1.8531122437302652,2.779999924959898
robot_0/link6_sensor_1,6,4,2.6797342,-1.2798630751784046,-1.7154328831633443,2.7799998648399606
robot_0/link6_sensor_1,7,4,2.6657975,-1.5162048463497853,-1.5791858423135479,2.7800000419891098
robot_0/link6_sensor_1,0,5,1.9260454,0.14537388150984132,-1.9500002251665158,2.11322218596833
robot_0/link6_sensor_1,1,5,2.0312982,-0.046874523098743404,-1.9500002731596178,2.1767747950688134
robot_0/link6_sensor_1,2,5,2.148719,-0.26134907555074,-1.950000067829805,2.247674678503092
robot_0/link6_sensor_1,3,5,2.2805483,-0.5021407557664512,-1.950000030651335,2.3272744497821476
robot_0/link6_sensor_1,4,5,2.429611,-0.7744099800412658,-1.949999953355775,2.4172798984630064
robot_0/link6_sensor_1,5,5,2.5995228,-1.0847609000591238,-1.9500000245012266,2.5198743000202075
robot_0/link6_sensor_1,6,5,2.7949867,-1.4417837421016564,-1.9500000576588485,2.6378972668721086
robot_0/link6_sensor_1,7,5,3.022235,-1.8568623523074206,-1.9499998629456776,2.7751119113402356
robot_0/link6_sensor_1,0,6,1.8090091,0.09009081916136741,-1.9500001450305613,1.91060866188501
robot_0/link6_sensor_1,1,6,1.9015517,-0.09270606508904983,-1.9500001463611192,1.95973690340822
robot_0/link6_sensor_1,2,6,2.0040731,-0.29521379198542314,-1.9500001178304145,2.0141625908468104
robot_0/link6_sensor_1,3,6,2.1182792,-0.5208021050588518,-1.9499999770436012,2.074791335360138
robot_0/link6_sensor_1,4,6,2.2462885,-0.7736554162470703,-1.9499999203357856,2.1427478207819144
robot_0/link6_sensor_1,5,6,2.3907642,-1.059034483059222,-1.9499997688739428,2.219445841873288
robot_0/link6_sensor_1,6,6,2.5551028,-1.3836471677113695,-1.9500001366573352,2.3066884665863645
robot_0/link6_sensor_1,7,6,2.743701,-1.7561802273532763,-1.9499999090184266,2.4068098419949937
robot_0/link6_sensor_1,0,7,1.7053814,0.041141452160212894,-1.9500000635629609,1.731208248832814
robot_0/link6_sensor_1,1,7,1.787385,-0.133034284510468,-1.950000104963348,1.7687604106296893
robot_0/link6_sensor_1,2,7,1.8776733,-0.32480670912650206,-1.9500001504857574,1.8101064054933111
robot_0/link6_sensor_1,3,7,1.9775684,-0.5369842876197313,-1.9500000868781595,1.855851697696441
robot_0/link6_sensor_1,4,7,2.0886898,-0.7730067468629023,-1.9499999172656093,1.9067378906328023
robot_0/link6_sensor_1,5,7,2.213043,-1.0371331660164522,-1.9499999133032986,1.9636833311597863
robot_0/link6_sensor_1,6,7,2.3531406,-1.3347008477950806,-1.9499998985684117,2.0278386771211334
robot_0/link6_sensor_1,7,7,2.512175,-1.6724902202095389,-1.9500000248425775,2.100665835173924
robot_0/link6_sensor_2,0,0,2.0641928,1.4045374559870587,-1.9500002754679653,2.0633510787453666
robot_0/link6_sensor_2,1,0,2.0273023,1.177814829843431,-1.9500002965650365,2.0621548046414926
robot_0/link6_sensor_2,2,0,1.9917071,0.9590536917157942,-1.950000221622057,2.061000483168871
robot_0/link6_sensor_2,3,0,1.9573405,0.74784201875861,-1.9500003158683012,2.059886093898025
robot_0/link6_sensor_2,4,0,1.9241396,0.5437955474347207,-1.9500003000468524,2.0588094475854923
robot_0/link6_sensor_2,5,0,1.8920465,0.34655579007906284,-1.950000431402863,2.0577688016532916
robot_0/link6_sensor_2,6,0,1.861006,0.15578772528805276,-1.950000295713038,2.0567621485285708
robot_0/link6_sensor_2,7,0,1.8309678,-0.028822013914712452,-1.9500003076264023,2.055788074854075
robot_0/link6_sensor_2,0,1,2.0198524,1.3694117608398737,-1.9500000581384114,1.8359296863141177
robot_0/link6_sensor_2,1,1,1.9845163,1.1480886443625304,-1.9500001599442325,1.838737308795921
robot_0/link6_sensor_2,2,1,1.9503951,0.9343761771341945,-1.950000139769187,1.8414483308161644
robot_0/link6_sensor_2,3,1,1.9174275,0.727888519651214,-1.9500001975291223,1.844067739045523
robot_0/link6_sensor_2,4,1,1.8855559,0.528265350598437,-1.9500001725927245,1.8466000302782102
robot_0/link6_sensor_2,5,1,1.8547266,0.3351699922889431,-1.95000028266222,1.849049575744179
robot_0/link6_sensor_2,6,1,1.824889,0.14828738606485353,-1.9500001831344758,1.8514202132737987
robot_0/link6_sensor_2,7,1,1.7959963,-0.032677561957782375,-1.950000239937683,1.8537158549030666
robot_0/link6_sensor_2,0,2,1.9773773,1.33576359362022,-1.9500002051109466,1.6180733059249857
robot_0/link6_sensor_2,1,2,1.943499,1.1195912813766773,-1.9500000719094963,1.6245553189032078
robot_0/link6_sensor_2,2,2,1.910762,0.910701537723835,-1.9499999356993647,1.6308189585568562
robot_0/link6_sensor_2,3,2,1.8791097,0.7087324977603582,-1.9499999959853909,1.636875144866206
robot_0/link6_sensor_2,4,2,1.8484893,0.5133457709292643,-1.950000237161113,1.6427340192630706
robot_0/link6_sensor_2,5,2,1.8188506,0.32422467115649106,-1.9500003506688082,1.6484049706862853
robot_0/link6_sensor_2,6,2,1.7901472,0.1410726153195866,-1.950000209662902,1.6538968483398246
robot_0/link6_sensor_2,7,2,1.7623358,-0.03638860196120708,-1.9500002468541828,1.6592181445576992
robot_0/link6_sensor_2,0,3,1.9366515,1.303501268642034,-1.9500000435584084,1.4091906765969273
robot_0/link6_sensor_2,1,3,1.9041431,1.0922481563662785,-1.950000181254454,1.4190477921251823
robot_0/link6_sensor_2,2,3,1.8727077,0.8879699861288203,-1.9499999925588187,1.428579378970541
robot_0/link6_sensor_2,3,3,1.8422937,0.6903271710774184,-1.9500001090524932,1.4378014321843375
robot_0/link6_sensor_2,4,3,1.8128518,0.4990014491958527,-1.9500001582056115,1.446728713469678
robot_0/link6_sensor_2,5,3,1.7843361,0.31369474288924204,-1.9500002319369378,1.4553751529622765
robot_0/link6_sensor_2,6,3,1.7567034,0.1341274315117466,-1.9500000894588605,1.463753740626188
