time_s,contact_count,normal_force_N,arm_tracking_error_rad
0.71,0,0,0.03792403054878944
0.712,0,0,0.03764526790879283
0.714,0,0,0.037363996666389246
0.716,0,0,0.037080219680922226
0.718,0,0,0.03679393994158473
0.72,0,0,0.03650516057426186
0.722,0,0,0.03621388484883831
0.724,0,0,0.035920116187004775
0.726,0,0,0.035623858170603165
0.728,0,0,0.035325114550553635
0.73,0,0,0.03502388925641088
0.732,0,0,0.03472018640659971
0.734,0,0,0.03441401031938577
0.736,0,0,0.034105365524646325
0.738,0,0,0.03379425677650301
0.74,0,0,0.03348068906689568
0.742,0,0,0.03316466764017279
0.744,0,0,0.03284619800879674
0.746,0,0,0.03252528597025014
0.748,0,0,0.032201937625262016
0.75,0,0,0.031876159397468344
0.752,0,0,0.03154795805463961
0.754,0,0,0.031217340731620545
0.756,0,0,0.030884314955148047
0.758,0,0,0.03054888867071942
0.76,0,0,0.030211070271714612
0.762,0,0,0.029870868630994394
0.764,0,0,0.02952829313521564
0.766,0,0,0.029183353722141096
0.768,0,0,0.02883606092125051
0.77,0,0,0.02848642589799058
0.772,0,0,0.028134460502049728
0.774,0,0,0.02778017732008483
0.776,0,0,0.02742358973338106
0.778,0,0,0.027064711980984493
0.78,0,0,0.026703559228917307
0.782,0,0,0.026340147646160713
0.784,0,0,0.02597449448817964
0.786,0,0,0.02560661818886847
0.788,0,0,0.0252365384619104
0.79,0,0,0.024864276412676502
0.792,0,0,0.024489854661948963
0.794,0,0,0.024113297482932165
0.796,0,0,0.023734630953214503
0.798,0,0,0.023353883123597784
0.8,0,0,0.022971084205970334
0.802,0,0,0.022594409776308246
0.804,0,0,0.022231883591350046
0.806,0,0,0.021883228545634018
0.808,0,0,0.021548146624185072
0.81,0,0,0.02122633271264126
0.812,0,0,0.020917480921384856
0.8140000000000001,0,0,0.020621287601031803
0.8160000000000001,0,0,0.020337452820817982
0.8180000000000001,0,0,0.020065681106255243
0.8200000000000001,0,0,0.019805681809211547
0.8220000000000001,0,0,0.01955716929087305
0.8240000000000001,0,0,0.01931986300721793
0.8260000000000001,0,0,0.01909348754267116
0.8280000000000001,0,0,0.018877772615767858
0.8300000000000001,0,0,0.018672453069511017
0.8320000000000001,0,0,0.018477268853291644
0.834,0,0,0.01829196500007757
0.836,0,0,0.018116291600826263
0.838,0,0,0.01795000377708065
0.84,0,0,0.01779286165212541
0.842,0,0,0.017644630320720445
0.844,0,0,0.017505079817268256
0.846,0,0,0.017373985082120815
0.848,0,0,0.01725112592571997
0.85,0,0,0.017136286990226682
0.852,0,0,0.01702925770833455
0.854,0,0,0.016929832258966042
0.856,0,0,0.016837809519623093
0.858,0,0,0.01675299301519658
0.86,0,0,0.016675190863095216
0.862,0,0,0.01660421571462599
0.864,0,0,0.0165398846926039
0.866,0,0,0.016482019325225084
0.868,0,0,0.01643044547630181
0.87,0,0,0.016384993271996204
0.872,0,0,0.016345497024241894
0.874,0,0,0.0163117951510805
0.876,0,0,0.016283730094175896
0.878,0,0,0.016261148233796617
0.88,0,0,0.016243899801581186
0.882,0,0,0.016231838791417166
0.884,0,0,0.016224822868777616
0.886,0,0,0.016222713278863047
0.888,0,0,0.016225374753896928
0.89,0,0,0.016232675419920302
0.892,0,0,0.016244486703426965
0.894,0,0,0.016260683238157148
0.896,0,0,0.01628114277236567
0.898,0,0,0.016305746076851157
0.9,0,0,0.016334376854024602
0.902,0,0,0.016366921648258658
0.904,0,0,0.016403269757755228
0.906,0,0,0.016443313148120822
0.908,0,0,0.016486946367845843
0.91,0,0,0.0165340664658235
0.912,0,0,0.016584572911058717
0.914,0,0,0.016638367514657616
0.916,0,0,0.01669535435419718
0.918,0,0,0.0167554397005353
0.92,0,0,0.016818531947101426
0.922,0,0,0.0168845415417052
0.924,0,0,0.01695338092086362
0.926,0,0,0.017024964446644503
0.928,0,0,0.01709920834600855
0.93,0,0,0.01717603065261679
0.932,0,0,0.01725535115105804
